,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,1,5,1,0,215,1820,0.024,0.043,0.073,0.089,0.123,0.109,0.1000000014901161,0.800000011920929,,False,0.1,106
0,0.001,0,2,5,1,0,215,1850,0.025,0.065,0.112,0.095,0.147,0.078,0.1000000014901161,0.800000011920929,,False,0.1,106
0,0.001,0,3,5,1,0,215,2210,0.04,0.073,0.084,0.104,0.158,0.094,0.1000000014901161,0.800000011920929,,False,0.1,106
0,0.001,0,4,5,1,0,215,2520,0.038,0.094,0.162,0.129,0.169,0.088,0.1000000014901161,0.800000011920929,,False,0.1,106
0,0.001,0,5,5,1,0,215,2970,0.038,0.054,0.184,0.123,0.158,0.143,0.1000000014901161,0.800000011920929,,False,0.1,106
0,0.001,0,1,5,1,0,215,2820,0.021,0.04,0.037,0.074,0.139,0.089,0.1000000014901161,0.800000011920929,,False,0.1,122
0,0.001,0,2,5,1,0,215,2950,0.027,0.032,0.028,0.081,0.121,0.076,0.1000000014901161,0.800000011920929,,False,0.1,122
0,0.001,0,3,5,1,0,215,2510,0.025,0.03,0.079,0.078,0.106,0.093,0.1000000014901161,0.800000011920929,,False,0.1,122
0,0.001,0,4,5,1,0,215,1940,0.036,0.038,0.06,0.092,0.106,0.063,0.1000000014901161,0.800000011920929,,False,0.1,122
0,0.001,0,5,5,1,0,215,1990,0.024,0.047,0.026,0.084,0.125,0.076,0.1000000014901161,0.800000011920929,,False,0.1,122
0,0.001,0,1,5,1,0,215,1540,0.027,0.035,0.07,0.094,0.088,0.116,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,2,5,1,0,215,2990,0.026,0.03,0.075,0.082,0.082,0.101,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,3,5,1,0,215,1590,0.029,0.037,0.086,0.098,0.078,0.114,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,4,5,1,0,215,1670,0.043,0.046,0.063,0.123,0.099,0.069,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,5,5,1,0,215,2960,0.039,0.044,0.062,0.122,0.122,0.105,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,1,5,1,0,215,2560,0.021,0.042,0.044,0.086,0.085,0.098,0.1000000014901161,0.800000011920929,,False,0.1,17
